state,district,applications,installations,inspection_approved,subsidy_released,subsidy_redeemed,conversion_rate_pct
RAJASTHAN,Ganganagar,23684.0,12357.0,11978.0,11206.0,11726.0,52.17446377301131
RAJASTHAN,Gangapurcity,366.0,161.0,150.0,148.0,150.0,43.98907103825137
RAJASTHAN,Hanumangarh,15085.0,7960.0,7696.0,7315.0,7597.0,52.76764998342725
RAJASTHAN,Jaipur,47943.0,28071.0,27339.0,25274.0,26684.0,58.55077905012202
RAJASTHAN,Jaipur Gramin,206.0,24.0,23.0,23.0,23.0,11.650485436893204
RAJASTHAN,Jaisalmer,746.0,271.0,265.0,251.0,262.0,36.32707774798928
RAJASTHAN,JALORE,2994.0,1226.0,1162.0,1076.0,1128.0,40.94856379425518
RAJASTHAN,Jhalawar,2075.0,1027.0,984.0,894.0,970.0,49.493975903614455
RAJASTHAN,JHUNJHUNU,12984.0,6300.0,6031.0,5610.0,5897.0,48.52125693160813
RAJASTHAN,Jodhpur,13873.0,7609.0,7391.0,7080.0,7313.0,54.84754559215743
RAJASTHAN,Jodhpur Gramin,67.0,4.0,3.0,3.0,3.0,5.970149253731343
RAJASTHAN,Karauli,1157.0,465.0,440.0,400.0,431.0,40.190146931719966
RAJASTHAN,Kekri,508.0,293.0,293.0,290.0,292.0,57.677165354330704
RAJASTHAN,Khairthal-Tijara,475.0,157.0,149.0,108.0,142.0,33.05263157894737
RAJASTHAN,Kota,8144.0,5002.0,4532.0,4206.0,4434.0,61.419449901768175
RAJASTHAN,Kotputli-Behror,2599.0,948.0,890.0,825.0,883.0,36.47556752597153
RAJASTHAN,Nagaur,3205.0,1743.0,1714.0,1651.0,1705.0,54.38377535101404
RAJASTHAN,Neem Ka Thana,403.0,214.0,212.0,212.0,212.0,53.101736972704714
RAJASTHAN,Pali,5871.0,2696.0,2599.0,2403.0,2523.0,45.92062680974281
RAJASTHAN,Phalodi,1124.0,201.0,195.0,187.0,194.0,17.88256227758007
RAJASTHAN,Pratapgarh,3038.0,1007.0,987.0,923.0,970.0,33.14680710994075
RAJASTHAN,Rajsamand,2896.0,1419.0,1381.0,1293.0,1352.0,48.998618784530386
RAJASTHAN,Salumbar,463.0,159.0,148.0,145.0,148.0,34.34125269978402
RAJASTHAN,Sanchor,482.0,151.0,143.0,136.0,140.0,31.327800829875518
RAJASTHAN,Sawai Madhopur,5790.0,988.0,974.0,895.0,961.0,17.063903281519863
RAJASTHAN,Shahpura,325.0,199.0,195.0,190.0,194.0,61.23076923076923
RAJASTHAN,Sikar,15997.0,8140.0,7818.0,7332.0,7672.0,50.884540851409646
RAJASTHAN,Sirohi,2196.0,1293.0,1244.0,1166.0,1223.0,58.879781420765035
RAJASTHAN,Tonk,3330.0,1019.0,942.0,901.0,937.0,30.600600600600604
RAJASTHAN,Udaipur,10536.0,6927.0,6727.0,6454.0,6624.0,65.74601366742597
SIKKIM,Gangtok,70.0,14.0,12.0,12.0,12.0,20.0
SIKKIM,Gyalshing,82.0,2.0,1.0,1.0,1.0,2.4390243902439024
SIKKIM,Mangan,7.0,0.0,0.0,0.0,0.0,0.0
SIKKIM,Namchi,39.0,7.0,3.0,3.0,3.0,17.94871794871795
SIKKIM,Pakyong,34.0,2.0,2.0,2.0,2.0,5.88235294117647
SIKKIM,Soreng,31.0,2.0,2.0,1.0,1.0,6.451612903225806
TAMIL NADU,Ariyalur,197.0,143.0,139.0,138.0,138.0,72.58883248730965
TAMIL NADU,CHENGALPATTU,5025.0,3996.0,3845.0,3704.0,3793.0,79.52238805970148
TAMIL NADU,Chennai,7200.0,5996.0,5750.0,5531.0,5677.0,83.27777777777777
TAMIL NADU,Coimbatore,8818.0,7533.0,7299.0,7119.0,7248.0,85.42753458834203
TAMIL NADU,Cuddalore,1621.0,1174.0,1135.0,1089.0,1121.0,72.42442936458976
TAMIL NADU,Dharmapuri,629.0,459.0,450.0,438.0,447.0,72.97297297297297
TAMIL NADU,Dindigul,1091.0,812.0,804.0,767.0,789.0,74.42713107241063
TAMIL NADU,Erode,3281.0,2795.0,2722.0,2649.0,2690.0,85.18744285278879
TAMIL NADU,KALLAKURICHI,583.0,404.0,383.0,368.0,381.0,69.2967409948542
TAMIL NADU,Kanchipuram,2263.0,1775.0,1709.0,1651.0,1690.0,78.43570481661511
TAMIL NADU,Kanniyakumari,1534.0,1153.0,1113.0,1064.0,1096.0,75.16297262059975
TAMIL NADU,Karur,1731.0,1595.0,1567.0,1521.0,1556.0,92.14326978625073
TAMIL NADU,Krishnagiri,941.0,639.0,613.0,594.0,603.0,67.90648246546228
TAMIL NADU,Madurai,2788.0,2129.0,2023.0,1946.0,2006.0,76.36298421807749
TAMIL NADU,Mayiladuthurai,401.0,290.0,280.0,269.0,273.0,72.31920199501248
TAMIL NADU,Nagapattinam,319.0,210.0,199.0,189.0,193.0,65.8307210031348
TAMIL NADU,Namakkal,3097.0,2666.0,2578.0,2494.0,2556.0,86.08330642557314
TAMIL NADU,Perambalur,259.0,200.0,195.0,187.0,192.0,77.22007722007721
TAMIL NADU,Pudukkottai,528.0,374.0,358.0,347.0,354.0,70.83333333333334
TAMIL NADU,Ramanathapuram,489.0,310.0,284.0,276.0,279.0,63.394683026584865
TAMIL NADU,Ranipet,654.0,478.0,455.0,440.0,450.0,73.08868501529052
TAMIL NADU,Salem,3353.0,2816.0,2727.0,2646.0,2704.0,83.98449150014912
TAMIL NADU,Sivaganga,741.0,499.0,475.0,451.0,470.0,67.34143049932524
TAMIL NADU,TENKASI,675.0,468.0,460.0,446.0,457.0,69.33333333333334
TAMIL NADU,Thanjavur,2114.0,1659.0,1613.0,1560.0,1598.0,78.47682119205298
TAMIL NADU,Theni,566.0,435.0,425.0,412.0,421.0,76.85512367491167
TAMIL NADU,The Nilgiris,133.0,80.0,79.0,76.0,79.0,60.150375939849624
TAMIL NADU,Thiruvallur,2965.0,2168.0,2060.0,1972.0,2036.0,73.11973018549747
TAMIL NADU,Thiruvannamalai,0.0,0.0,0.0,0.0,0.0,0.0
TAMIL NADU,Thiruvarur,832.0,596.0,577.0,561.0,573.0,71.63461538461539
TAMIL NADU,Thoothukkudi,1502.0,1176.0,1137.0,1090.0,1123.0,78.29560585885486
TAMIL NADU,Tiruchirappalli,3093.0,2503.0,2421.0,2323.0,2388.0,80.92466860653089
TAMIL NADU,Tirunelveli,1526.0,1224.0,1191.0,1153.0,1178.0,80.2096985583224
TAMIL NADU,Tirupathur,426.0,278.0,252.0,238.0,244.0,65.25821596244131
TAMIL NADU,Tiruppur,3048.0,2506.0,2393.0,2315.0,2376.0,82.21784776902888
TAMIL NADU,Tiruvannamalai,1008.0,635.0,615.0,588.0,610.0,62.99603174603175
