#,state,district,application_status,vendor_selected,vendor_selection_pending_gt_180_days,feasibility_approved,feasibility_rejected,feasibility_pending,residential_installation,rwa_installation,no_of_houses,upto_10_kw,above_10_kw,installation,installation_against_loan,inspection_approved,inspection_rejected,inspection_pending,total_redeem,total_redeem_amt,total_released,total_released_amt,applications_submitted_for_loan,applications_where_loan_sanction_is_pending,applications_in_which_loan_is_sanctioned,applications_where_loan_is_disbursed,applications_where_loan_is_rejected,active_vendor
35.0,ARUNACHAL PRADESH,EAST KAMENG,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,ARUNACHAL PRADESH,East Siang,5.0,4.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
37.0,ARUNACHAL PRADESH,KAMLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,ARUNACHAL PRADESH,Keyi Panyor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,ARUNACHAL PRADESH,Kra Daadi,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,ARUNACHAL PRADESH,Kurung Kumey,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,ARUNACHAL PRADESH,LEPARADA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,ARUNACHAL PRADESH,Lohit,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,ARUNACHAL PRADESH,LONGDING,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,ARUNACHAL PRADESH,Lower Dibang Valley ,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,ARUNACHAL PRADESH,LOWER SIANG,5.0,1.0,4.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,85800.0,1.0,85800.0,1.0,0.0,1.0,0.0,0.0,1.0
46.0,ARUNACHAL PRADESH,Lower Subansiri,10.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,ARUNACHAL PRADESH,NAMSAI,7.0,4.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
48.0,ARUNACHAL PRADESH,PAKKE KESSANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,ARUNACHAL PRADESH,Papum Pare,22.0,14.0,4.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0
50.0,ARUNACHAL PRADESH,SHI YOMI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,ARUNACHAL PRADESH,SIANG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,ARUNACHAL PRADESH,Tawang,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,ARUNACHAL PRADESH,Tirap,13.0,3.0,4.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,ARUNACHAL PRADESH,Upper Siang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,ARUNACHAL PRADESH,Upper Subansiri,5.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,ARUNACHAL PRADESH,WEST KAMENG ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,ARUNACHAL PRADESH,West Siang,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,ASSAM,BAJALI,2105.0,1256.0,830.0,2100.0,0.0,5.0,449.0,0.0,0.0,449.0,0.0,449.0,351.0,399.0,0.0,48.0,395.0,33574596.0,389.0,33079596.0,865.0,94.0,436.0,374.0,335.0,65.0
59.0,ASSAM,Baksa,23507.0,17519.0,5861.0,23474.0,0.0,20.0,4681.0,0.0,0.0,4681.0,0.0,4681.0,4282.0,4198.0,1.0,438.0,3832.0,328117680.0,3367.0,288253548.0,13719.0,3171.0,6259.0,4961.0,4289.0,247.0
60.0,ASSAM,Barpeta,40184.0,26124.0,13896.0,40096.0,0.0,41.0,8049.0,0.0,0.0,8049.0,0.0,8049.0,6846.0,7477.0,10.0,367.0,6931.0,591350991.0,6514.0,555744849.0,19561.0,3147.0,9354.0,7611.0,7060.0,260.0
61.0,ASSAM,Biswanath,8553.0,6183.0,2318.0,8528.0,0.0,16.0,2853.0,0.0,0.0,2853.0,0.0,2853.0,2386.0,2751.0,1.0,95.0,2606.0,223305720.0,2529.0,216699120.0,5027.0,468.0,2753.0,2403.0,1806.0,88.0
62.0,ASSAM,Bongaigaon,23159.0,14452.0,8550.0,23123.0,1.0,22.0,3800.0,0.0,0.0,3795.0,5.0,3800.0,3028.0,3493.0,0.0,257.0,3187.0,272819580.0,2997.0,256517580.0,8950.0,1089.0,3802.0,3218.0,4059.0,174.0
63.0,ASSAM,Cachar,12344.0,6144.0,5988.0,12256.0,5.0,67.0,1378.0,0.0,0.0,1373.0,5.0,1378.0,687.0,1301.0,2.0,52.0,1237.0,104785659.0,1148.0,97169259.0,3630.0,919.0,1000.0,787.0,1711.0,79.0
64.0,ASSAM,CHARAIDEO,3723.0,2841.0,824.0,3719.0,2.0,2.0,1153.0,0.0,0.0,1150.0,3.0,1153.0,881.0,1093.0,1.0,52.0,1048.0,89368686.0,1011.0,86209926.0,2196.0,360.0,1116.0,922.0,720.0,120.0
65.0,ASSAM,Chirang,9210.0,4742.0,4439.0,9146.0,0.0,4.0,1201.0,0.0,0.0,1201.0,0.0,1201.0,946.0,1132.0,0.0,57.0,1085.0,92349543.0,1021.0,86858343.0,2498.0,173.0,1167.0,919.0,1158.0,86.0
66.0,ASSAM,Darrang,29079.0,11224.0,17640.0,28990.0,0.0,33.0,2254.0,0.0,0.0,2254.0,0.0,2254.0,1777.0,1986.0,1.0,200.0,1785.0,150942594.0,1619.0,136837470.0,7401.0,1657.0,2502.0,1990.0,3242.0,134.0
67.0,ASSAM,Dhemaji,16100.0,8773.0,7205.0,15997.0,2.0,47.0,2546.0,0.0,0.0,2546.0,0.0,2546.0,2295.0,2386.0,1.0,130.0,2251.0,192729900.0,2047.0,175243728.0,6397.0,603.0,2909.0,2517.0,2885.0,85.0
68.0,ASSAM,Dhubri,47814.0,38051.0,9426.0,47710.0,1.0,74.0,8131.0,0.0,0.0,8130.0,1.0,8131.0,6269.0,7335.0,13.0,555.0,6809.0,582827355.0,6106.0,522611067.0,24738.0,1644.0,8492.0,6922.0,14602.0,236.0
69.0,ASSAM,Dibrugarh,6374.0,2958.0,3359.0,6342.0,0.0,28.0,1153.0,0.0,0.0,1149.0,4.0,1153.0,727.0,1104.0,1.0,40.0,1070.0,91123989.0,967.0,82286589.0,1889.0,294.0,925.0,766.0,670.0,121.0
70.0,ASSAM,Dima Hasao,4237.0,2723.0,1488.0,4210.0,0.0,22.0,471.0,0.0,0.0,471.0,0.0,471.0,436.0,401.0,0.0,50.0,341.0,27497745.0,286.0,22939521.0,1722.0,329.0,748.0,569.0,645.0,32.0
71.0,ASSAM,Goalpara,20656.0,13800.0,6723.0,20612.0,16.0,13.0,4598.0,0.0,0.0,4596.0,2.0,4598.0,3581.0,4212.0,4.0,187.0,3965.0,339073746.0,3530.0,301764210.0,9275.0,913.0,4183.0,3661.0,4179.0,141.0
72.0,ASSAM,Golaghat,13307.0,7376.0,5830.0,13278.0,6.0,7.0,2192.0,1.0,250.0,2187.0,6.0,2193.0,1792.0,2054.0,0.0,109.0,1959.0,167065470.0,1756.0,149654505.0,5233.0,989.0,2318.0,1907.0,1926.0,156.0
73.0,ASSAM,Hailakandi,8636.0,3842.0,4607.0,8504.0,1.0,72.0,444.0,0.0,0.0,443.0,1.0,444.0,338.0,385.0,2.0,38.0,327.0,27474480.0,281.0,23577840.0,2663.0,581.0,615.0,426.0,1467.0,41.0
74.0,ASSAM,HOJAI,26187.0,17986.0,8055.0,26136.0,0.0,46.0,5164.0,2.0,28.0,5166.0,0.0,5166.0,4097.0,4984.0,8.0,133.0,4614.0,394100586.0,4146.0,354058122.0,11551.0,1091.0,5401.0,4288.0,5059.0,147.0
75.0,ASSAM,Jorhat,11170.0,7676.0,3404.0,11139.0,0.0,13.0,4257.0,0.0,0.0,4248.0,9.0,4257.0,3092.0,4164.0,1.0,70.0,4017.0,343454232.0,3746.0,320202432.0,5666.0,657.0,3435.0,3079.0,1574.0,157.0
76.0,ASSAM,Kamrup,23675.0,9245.0,14300.0,23646.0,1.0,9.0,1900.0,0.0,0.0,1900.0,0.0,1900.0,1390.0,1769.0,3.0,117.0,1643.0,140160405.0,1436.0,122399805.0,5487.0,1230.0,1984.0,1560.0,2273.0,218.0
77.0,ASSAM,Kamrup Metro,10927.0,8435.0,2348.0,10899.0,1.0,15.0,3648.0,5.0,114.0,3587.0,66.0,3653.0,1549.0,3530.0,1.0,100.0,3367.0,287201046.0,3136.0,267418404.0,4556.0,931.0,1935.0,1589.0,1690.0,347.0
78.0,ASSAM,Karbi Anglong,14445.0,9640.0,4676.0,14370.0,0.0,50.0,1837.0,0.0,0.0,1836.0,1.0,1837.0,1610.0,1629.0,0.0,174.0,1433.0,122180256.0,1225.0,104400648.0,6373.0,894.0,2450.0,1779.0,3029.0,159.0
79.0,ASSAM,Karimganj,10579.0,4065.0,6386.0,10484.0,0.0,44.0,970.0,2.0,179.0,970.0,2.0,972.0,729.0,930.0,1.0,32.0,908.0,77361108.0,822.0,69998148.0,2541.0,440.0,949.0,753.0,1152.0,50.0
80.0,ASSAM,Kokrajhar,12400.0,9182.0,3143.0,12360.0,0.0,33.0,2806.0,0.0,0.0,2805.0,1.0,2806.0,2443.0,2652.0,0.0,121.0,2400.0,205097640.0,2159.0,184436472.0,5893.0,627.0,3088.0,2506.0,2178.0,129.0
81.0,ASSAM,Lakhimpur,20770.0,13916.0,6727.0,20581.0,14.0,138.0,4552.0,0.0,0.0,4550.0,2.0,4552.0,4081.0,4230.0,6.0,284.0,4076.0,348056874.0,3842.0,328012146.0,10795.0,1244.0,5261.0,4460.0,4290.0,132.0
82.0,ASSAM,MAJULI,2120.0,868.0,1233.0,2097.0,5.0,15.0,305.0,0.0,0.0,305.0,0.0,305.0,287.0,287.0,0.0,15.0,239.0,20486400.0,182.0,15595800.0,672.0,75.0,372.0,328.0,225.0,31.0
83.0,ASSAM,Marigaon,16535.0,11321.0,5063.0,16462.0,2.0,35.0,2258.0,0.0,0.0,2258.0,0.0,2258.0,1939.0,2141.0,4.0,84.0,1892.0,161462202.0,1675.0,142916070.0,6644.0,909.0,2501.0,2097.0,3234.0,163.0
84.0,ASSAM,Nagaon,33308.0,19836.0,13243.0,33207.0,11.0,32.0,4687.0,0.0,0.0,4683.0,4.0,4687.0,3588.0,4497.0,11.0,111.0,4201.0,358969050.0,3833.0,327446922.0,10899.0,1175.0,4395.0,3724.0,5329.0,237.0
85.0,ASSAM,Nalbari,10210.0,4183.0,5974.0,10164.0,0.0,38.0,1279.0,1.0,1.0,1277.0,3.0,1280.0,1007.0,1239.0,0.0,35.0,1179.0,100622049.0,1059.0,90342681.0,2876.0,518.0,1232.0,1011.0,1126.0,134.0
86.0,ASSAM,SIVASAGAR,4380.0,2071.0,2281.0,4370.0,3.0,0.0,1101.0,0.0,0.0,1100.0,1.0,1101.0,752.0,1087.0,0.0,12.0,1048.0,89341428.0,987.0,84107628.0,1337.0,165.0,851.0,778.0,321.0,121.0
87.0,ASSAM,Sonitpur,13148.0,7825.0,5209.0,13113.0,0.0,22.0,2066.0,0.0,0.0,2062.0,4.0,2066.0,1588.0,1958.0,2.0,76.0,1853.0,158108280.0,1675.0,142851720.0,5386.0,700.0,2204.0,1741.0,2482.0,176.0
88.0,ASSAM,SOUTH SALMARA MANCACHAR,6411.0,5022.0,1359.0,6365.0,1.0,23.0,1276.0,0.0,0.0,1276.0,0.0,1276.0,1107.0,1216.0,2.0,57.0,1037.0,88840818.0,927.0,79402818.0,3139.0,455.0,1474.0,1223.0,1210.0,32.0
89.0,ASSAM,TAMULPUR,3440.0,871.0,2562.0,3428.0,0.0,11.0,135.0,0.0,0.0,135.0,0.0,135.0,101.0,133.0,0.0,2.0,127.0,10613460.0,120.0,10022760.0,463.0,39.0,139.0,104.0,285.0,30.0
90.0,ASSAM,Tinsukia,6531.0,4076.0,2371.0,6504.0,0.0,9.0,1271.0,1.0,5.0,1270.0,2.0,1272.0,919.0,1196.0,2.0,50.0,1128.0,96440817.0,1017.0,86917017.0,2837.0,578.0,1245.0,1019.0,1014.0,89.0
91.0,ASSAM,Udalguri,10264.0,4650.0,5541.0,10210.0,1.0,31.0,730.0,1.0,1.0,731.0,0.0,731.0,576.0,658.0,1.0,70.0,580.0,49199700.0,485.0,41048700.0,2616.0,453.0,787.0,633.0,1376.0,82.0
92.0,ASSAM,WEST KARBI ANGLONG,2487.0,1287.0,1187.0,2468.0,0.0,9.0,423.0,0.0,0.0,422.0,1.0,423.0,378.0,399.0,0.0,20.0,371.0,31228032.0,355.0,29855232.0,899.0,54.0,441.0,402.0,404.0,29.0
93.0,BIHAR,Araria,545.0,258.0,223.0,523.0,3.0,18.0,29.0,0.0,0.0,29.0,0.0,29.0,13.0,28.0,0.0,0.0,28.0,2169240.0,27.0,2091240.0,115.0,14.0,29.0,18.0,72.0,22.0
94.0,BIHAR,ARWAL,268.0,191.0,55.0,263.0,0.0,1.0,68.0,0.0,0.0,68.0,0.0,68.0,30.0,66.0,0.0,1.0,64.0,4900740.0,64.0,4900740.0,110.0,10.0,48.0,33.0,52.0,16.0
95.0,BIHAR,Aurangabad,717.0,451.0,194.0,686.0,1.0,22.0,123.0,0.0,0.0,119.0,4.0,123.0,40.0,117.0,3.0,2.0,115.0,8861910.0,112.0,8627910.0,236.0,26.0,83.0,53.0,127.0,64.0
96.0,BIHAR,Banka,953.0,480.0,401.0,933.0,7.0,8.0,81.0,0.0,0.0,81.0,0.0,81.0,46.0,77.0,1.0,2.0,75.0,5729040.0,74.0,5651040.0,276.0,30.0,82.0,58.0,164.0,20.0
97.0,BIHAR,Begusarai,1303.0,847.0,348.0,1267.0,5.0,27.0,310.0,0.0,0.0,310.0,0.0,310.0,176.0,304.0,1.0,4.0,300.0,23204250.0,280.0,21644250.0,459.0,40.0,226.0,193.0,193.0,96.0
